type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_countries,prod_countries_cnt,main_genre,dbscan_clusters
SHOW,2014,23,2.0,7.1,3386.0,46.794,7.9,JP,1,action,7
SHOW,2014,57,5.0,7.9,36177.0,30.409,7.7,TR,1,action,-1
SHOW,2013,24,7.0,6.0,1950.0,9.889,7.2,CA,1,drama,19
SHOW,2014,23,4.0,5.1,2642.0,27.683,7.3,US,1,family,4
SHOW,2013,19,3.0,6.4,634.0,5.109,7.8,CA,3,animation,12
SHOW,2013,59,1.0,7.5,10653.0,44.966,7.8,KR,1,comedy,29
SHOW,2013,25,4.0,6.7,4015.0,41.013,7.6,AU,1,scifi,24
SHOW,2013,43,10.0,4.6,468.0,7.659,8.5,US,1,reality,5
SHOW,2014,14,5.0,6.1,411.0,22.213,8.2,US,1,animation,25
SHOW,2013,24,2.0,5.0,2538.0,17.079,7.1,US,1,comedy,1
SHOW,2013,23,2.0,7.3,1165.0,12.324,7.5,JP,1,scifi,11
SHOW,2013,22,3.0,4.6,678.0,13.763,7.4,CA,3,action,44
SHOW,2013,25,4.0,7.7,824.0,23.065,7.3,JP,1,comedy,27
SHOW,2013,29,5.0,7.7,1184.0,28.659,7.8,CA,1,action,44
SHOW,2014,53,2.0,7.9,14.0,8.389,6.9,FR,1,drama,51
SHOW,2014,43,5.0,6.8,387.0,139.363,7.8,US,1,crime,20
SHOW,2013,23,3.0,6.5,104.0,0.939,4.0,US,1,animation,25
SHOW,2014,24,4.0,8.5,22.0,12.121,6.8,CA,1,comedy,21
SHOW,2014,18,4.0,4.2,311.0,5.953,5.5,US,1,comedy,1
SHOW,2014,76,2.0,7.4,6167.0,24.363,8.2,TR,1,action,-1
SHOW,2014,28,3.0,8.6,454.0,1.4,6.3,US,1,documentation,35
SHOW,2013,19,3.0,6.3,613.0,7.35,8.7,US,1,comedy,1
SHOW,2014,23,5.0,7.0,2042.0,26.409,6.9,US,1,comedy,1
SHOW,2013,46,1.0,7.1,1730.0,2.294,8.0,TR,1,action,-1
SHOW,2014,73,1.0,8.5,1987.0,6.909,9.1,KR,1,comedy,29
SHOW,2013,23,2.0,6.2,195.0,9.028,8.0,JP,1,animation,8
SHOW,2014,4,4.0,6.9,392.0,10.547,7.0,RU,1,comedy,-1
SHOW,2014,45,2.0,6.2,692.0,2.675,6.3,PL,1,crime,52
SHOW,2013,63,1.0,7.6,1836.0,5.05,7.5,KR,1,drama,53
SHOW,2014,44,1.0,8.3,273.0,1.243,10.0,IN,1,drama,54
SHOW,2014,5,1.0,6.2,67.0,6.738,5.5,RU,1,animation,-1
SHOW,2014,15,2.0,5.7,31.0,1.96,7.3,US,1,animation,25
SHOW,2014,29,3.0,8.9,333.0,0.992,10.0,IN,1,history,-1
SHOW,2014,45,1.0,7.3,456.0,5.829,9.0,CN,1,comedy,55
SHOW,2014,44,1.0,7.6,11.0,0.6,6.0,SG,1,drama,-1
SHOW,2013,44,1.0,8.0,59.0,1.762,7.0,TW,1,comedy,36
SHOW,2015,49,6.0,8.8,438575.0,273.296,8.5,US,1,drama,13
SHOW,2015,51,9.0,8.4,5037.0,26.93,7.0,US,1,reality,5
SHOW,2016,61,5.0,8.7,1101055.0,2226.231,8.635,US,1,scifi,2
SHOW,2015,22,6.0,8.5,115758.0,25.254,7.6,CA,1,comedy,21
SHOW,2016,23,4.0,8.2,152884.0,33.793,8.0,US,1,scifi,2
SHOW,2015,22,2.0,8.7,152231.0,133.336,8.4,JP,1,action,7
SHOW,2015,55,5.0,8.5,132561.0,153.281,8.3,GB,1,action,22
SHOW,2015,24,5.0,8.2,10022.0,28.642,8.6,JP,1,drama,9
SHOW,2016,56,5.0,8.7,194243.0,75.521,8.2,GB,2,drama,41
SHOW,2015,30,3.0,8.4,70087.0,30.426,7.7,US,1,action,10
SHOW,2016,47,6.0,8.1,313124.0,922.112,8.523,US,1,scifi,2
SHOW,2015,42,9.0,8.3,3632.0,24.602,8.1,US,1,reality,5
SHOW,2016,55,2.0,7.8,103176.0,33.623,7.6,US,1,scifi,2
SHOW,2015,44,5.0,7.6,50193.0,41.602,7.7,US,1,scifi,2
SHOW,2015,21,5.0,7.7,10102.0,266.566,8.0,FR,1,animation,15
SHOW,2016,42,5.0,7.9,29495.0,42.381,7.623,US,1,drama,13
SHOW,2015,29,7.0,8.2,51116.0,25.429,7.6,US,1,drama,13
SHOW,2016,44,3.0,7.5,89300.0,40.372,7.2,US,1,war,48
SHOW,2016,46,4.0,6.7,14321.0,33.199,6.6,CA,1,crime,-1
SHOW,2016,46,7.0,7.6,2676.0,8.446,6.8,US,1,documentation,35
SHOW,2015,40,4.0,8.2,26158.0,41.37,7.5,IL,1,war,-1
SHOW,2015,55,4.0,8.3,14061.0,20.42,7.9,FR,1,comedy,17
SHOW,2016,45,3.0,8.0,55485.0,37.756,7.6,CA,1,scifi,6
SHOW,2016,54,3.0,7.9,18891.0,31.427,7.8,IT,2,war,-1
SHOW,2016,46,3.0,9.0,5890.0,6.44,8.2,US,1,documentation,35
SHOW,2015,57,3.0,7.9,51422.0,17.338,7.3,US,1,drama,13
SHOW,2015,42,4.0,7.8,20028.0,19.268,6.9,US,1,comedy,1
SHOW,2015,52,3.0,8.8,410463.0,75.495,7.973,US,1,drama,13
SHOW,2016,42,7.0,6.8,101178.0,63.898,7.4,US,1,drama,13
SHOW,2016,31,3.0,7.7,18456.0,30.431,7.0,NO,1,comedy,-1
SHOW,2016,41,3.0,7.5,36165.0,45.055,7.1,US,1,action,10
SHOW,2016,45,3.0,7.4,30969.0,25.841,7.1,GB,1,crime,46
SHOW,2015,43,3.0,7.9,46030.0,22.624,7.6,US,1,action,10
SHOW,2015,43,3.0,7.1,40676.0,38.018,6.9,US,1,thriller,47
SHOW,2015,42,5.0,7.8,67213.0,45.203,7.792,US,1,crime,20
SHOW,2015,42,6.0,6.2,122911.0,91.102,7.3,US,1,scifi,2
SHOW,2015,62,2.0,8.2,152865.0,34.974,7.8,US,1,scifi,2
SHOW,2016,22,5.0,8.2,17706.0,17.034,7.8,CA,1,comedy,21
SHOW,2016,43,4.0,7.3,22565.0,30.342,8.0,CA,2,western,-1
SHOW,2015,30,4.0,7.6,71266.0,25.634,7.2,US,1,comedy,1
